agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,33,100,acceptance_rate,0.2925499
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,33,100,accumulated_reward,3.81
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,33,100,available_budget,47.06
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,33,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,34,100,acceptance_rate,0.29069434
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,34,100,accumulated_reward,3.87
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,34,100,available_budget,47.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,34,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,35,100,acceptance_rate,0.28933648
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,35,100,accumulated_reward,3.95
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,35,100,available_budget,46.92
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,35,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,36,100,acceptance_rate,0.28638473000000003
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,36,100,accumulated_reward,4.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,36,100,available_budget,46.88
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,36,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,37,100,acceptance_rate,0.28321583
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,37,100,accumulated_reward,4.11
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,37,100,available_budget,46.8
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,37,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,38,100,acceptance_rate,0.2862287
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,38,100,accumulated_reward,4.26
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,38,100,available_budget,46.67
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,38,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,39,100,acceptance_rate,0.28515854
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,39,100,accumulated_reward,4.34
